"old_name","current_name"
"Bacteroides heparinolyticus","Prevotella heparinolytica"
"Prevotella enoeca","Hoylesella enoeca"
"Prevotella oris","Segatella oris"
"Prevotella ruminicola","Xylanibacter ruminicola"
"Tannerella sp. oral taxon HOT-286","Tannerella serpentiformis"
"Gramella echinicola","Christiangramia echinicola"
"Ruminococcus gnavus","Mediterraneibacter gnavus"
"Clostridium scindens","[Clostridium] scindens"
"Clostridium hylemonae","[Clostridium] hylemonae"
"Ruminococcus bicirculans","Ruminococcus bicirculans (ex Liu et al. 2021)   <species> "
"Clostridium cellulosi","[Clostridium] cellulosi"
"Paeniclostridium sordellii","Paraclostridium sordellii"
"Eubacterium sulci","[Eubacterium] sulci"
"Eubacterium cellulosolvens","[Eubacterium] cellulosolvens"
"Desulfallas gibsoniae","Desulfoscipio gibsoniae"
"Hungateiclostridium thermocellum","Acetivibrio thermocellus"
"Hungateiclostridium clariflavum","Acetivibrio clariflavus"
"Pseudoclostridium thermosuccinogenes","Clostridium thermosuccinogenes"
"Lactococcus piscium","Pseudolactococcus piscium"
"Lactobacillus ruminis","Ligilactobacillus ruminis"
"Lactobacillus reuteri","Limosilactobacillus reuteri"
"Lactobacillus plantarum","Lactiplantibacillus plantarum"
"Lactobacillus salivarius","Ligilactobacillus salivarius"
"Lactobacillus hokkaidonensis","Paucilactobacillus hokkaidonensis"
"Lactobacillus murinus","Ligilactobacillus murinus"
"Lactobacillus crustorum","Companilactobacillus crustorum"
"Bacillus megaterium","Priestia megaterium"
"Bacillus circulans","Niallia circulans"
"Alkalihalobacillus pseudofirmus","Alkalihalophilus pseudofirmus"
"Exiguobacterium sibiricum","Exiguobacterium artemiae"
"Clostridium innocuum","[Clostridium] innocuum"
"Erysipelatoclostridium ramosum","Thomasclavelia ramosa"
"Atopobium parvulum","Lancefieldella parvula"
"Pseudomonas stutzeri","Stutzerimonas stutzeri"
"Desulfovibrio vulgaris","Nitratidesulfovibrio vulgaris"
"Eubacterium minutum","[Eubacterium] minutum"
"Lactobacillus curvatus","Latilactobacillus curvatus"
"Lactobacillus fermentum","Limosilactobacillus fermentum"
"Bacillus coagulans","Heyndrickxia coagulans"
"Bacillus horikoshii","Sutcliffiella horikoshii"
"Planomicrobium glaciei","Planococcus glaciei"
"Bacillus selenitireducens","Salisediminibacterium selenitireducens"
"Clostridium ultunense","Schnuerera ultunensis"
"Geobacter uraniireducens","Geotalea uraniireducens"
"Arcobacter cryaerophilus","Aliarcobacter cryaerophilus"
"Gramella flava","Christiangramia flava"
"Muricauda ruestringensis","Flagellimonas ruestringensis"
"Chryseobacterium haifense","Kaistella haifensis"
"Lactobacillus rhamnosus","Lacticaseibacillus rhamnosus"
"Lactobacillus coryniformis","Loigolactobacillus coryniformis"
"Lactobacillus paracollinoides","Secundilactobacillus paracollinoides"
"Lactobacillus graminis","Latilactobacillus graminis"
"Lactobacillus pentosus","Lactiplantibacillus pentosus"
"Rhodococcus hoagii","Prescottella equi"
"Oscillatoria acuminata","Oxynema acuminatum"
"Moorea producens","Moorena producens"
"Mycoplasma arginini","Mycoplasmopsis arginini"
"Mycoplasma cloacale","Metamycoplasma cloacale"
"Candidatus Hamiltonella defensa","Candidatus Williamhamiltonella defendens"
"Candidatus Blochmannia vafer","Candidatus Blochmanniella vafra"
"Pseudomonas mendocina","Ectopseudomonas mendocina"
"Moraxella osloensis","Faucicola osloensis"
"Glaciecola nitratireducens","Brumicola nitratireducens"
"Marinobacter hydrocarbonoclasticus","Marinobacter nauticus"
"Halomonas titanicae","Vreelandella titanicae"
"Alcanivorax dieselolei","Alloalcanivorax dieselolei"
"Pasteurella skyensis","Phocoenobacter skyensis"
"Acidovorax avenae","Paracidovorax avenae"
"Azoarcus communis","Parazoarcus communis"
"Starkeya novella","Ancylobacter novellus"
"Rhodobacter sphaeroides","Cereibacter sphaeroides"
"Desulfovibrio salexigens","Maridesulfovibrio salexigens"
"Desulfovibrio hydrothermalis","Maridesulfovibrio hydrothermalis"
"Desulfococcus oleovorans","Desulfosudis oleivorans"
"Arcobacter butzleri","Aliarcobacter butzleri"
"Methylacidiphilum infernorum","Candidatus Methylacidiphilum infernorum"
"Candidatus Kuenenia stuttgartiensis","Candidatus Kuenenia stuttgartensis"
"Sphaerochaeta coccoides","Parasphaerochaeta coccoides"
"Edwardsiella virus pEt-SU","Petsuvirus pEtSU"
"Bacillus virus CP51","Siminovitchvirus CP51"
"Lactobacillus vaginalis","Limosilactobacillus vaginalis"
"Lactobacillus parabuchneri","Lentilactobacillus parabuchneri"
"Geobacter daltonii","Geotalea daltonii"
