Total Number of Aligned Reads:	8811227	Total Number of Mapped Genomes:	13057
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|435590|org|Bacteroides_vulgatus_ATCC_8482|accession|NC_009614.1	0.2482756207350091	0.25196184367966007	2220093.0	0.251952083404502	9.760275158045525e-06	0.23837332231663425	0.24462944817027585	2155485.598713035	0.24404013198161845	0.006371303338343229
ti|537011|org|Prevotella_copri_DSM_18205|accession|NZ_GG703852.1	0.12024278779279635	0.12677417117956444	1117036.0	0.1265829378814097	0.0001912332981547292	0.07275356352226345	0.06928041659461653	610445.4772697332	0.10794591945026498	0.011938745875006965
ti|515619|org|[Eubacterium]_rectale_ATCC_33656|accession|NC_012781.1	0.10615137603322483	0.09040647800811397	796592.0	0.09040636451654237	1.1349157160518053e-07	0.10386255131373003	0.0838965735067002	739231.7536897215	0.08314585471467255	0.0023113693473111067
ti|367928|org|Bifidobacterium_adolescentis_ATCC_15703|accession|NC_008618.1	0.0604787954689141	0.04824992024379805	425141.0	0.04824992024379805	0.0	0.06021242808653638	0.04813811233760527	424155.83515814063	0.04813563423119164	0.00010747651831010596
ti|537011|org|Prevotella_copri_DSM_18205|accession|NZ_GG703853.1	0.05288281272884651	0.05384857296265322	474472.0	0.053697402189275115	0.00015117077337810047	0.04123051244159159	0.03957790096742325	348729.8696074859	0.06498096122140537	0.007083803424880553
ti|537011|org|Prevotella_copri_DSM_18205|accession|NZ_GG703854.1	0.04626987196961589	0.04164868298138273	366976.0	0.04151147167131206	0.00013721131007066325	0.03768531057258431	0.03646480404383115	321299.66594071424	0.05857390803800651	0.010387316091164148
ti|537011|org|Prevotella_copri_DSM_18205|accession|NZ_GG703855.1	0.022817580055250947	0.020767255230173958	182985.0	0.02069757140520838	6.968382496558085e-05	0.025146705125230113	0.024960431026552092	219932.0237927935	0.03758398234434319	0.010088833257842524
ti|445970|org|Alistipes_putredinis_DSM_17216|accession|NZ_DS499579.1	0.02063407996076755	0.025273438080757653	222690.0	0.025273324589186047	1.1349157160518053e-07	0.010281243736124856	0.012096792781016363	106587.58716549647	0.017726589043727963	0.005716343478609733
ti|411479|org|Bacteroides_uniformis_ATCC_8492|accession|NZ_DS362248.1	0.01958915799546573	0.015621660865166679	137646.0	0.01561269503100987	8.96583415680926e-06	0.019633687814838572	0.015698021777596563	138318.83333334682	0.015613489472011105	0.00023946721608693092
ti|445970|org|Alistipes_putredinis_DSM_17216|accession|NZ_DS499577.1	0.019196497947895817	0.02116050352578591	186450.0	0.021160390034214303	1.1349157160518053e-07	0.02189187633887526	0.022768602323588495	200619.32354586569	0.02455741975550057	0.002320448673039521
