name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium	6	genus	0	2	0	0.0
Azorhizobium caulinodans	7	species	5369772	336	198	0.0
Buchnera aphidicola	9	species	619958	337	263	0.0
Cellulomonas gilvus	11	species	3526441	165	90	0.0
Dictyoglomus thermophilum	14	species	1959987	198	148	0.0
Pelobacter carbinolicus	19	species	3665893	272	191	0.0
Phenylobacterium	20	genus	0	1	0	0.0
Shewanella	22	genus	0	3	0	0.0
Shewanella putrefaciens	24	species	4749735	132	44	0.0
Myxococcales	29	order	0	3	0	0.0
Myxococcaceae	31	family	0	4	0	0.0
Myxococcus fulvus	33	species	10026214	801	401	0.0
Myxococcus xanthus	34	species	9139763	347	144	0.0
Cystobacteraceae	39	family	0	1	0	0.0
Stigmatella	40	genus	0	1	0	0.0
Stigmatella aurantiaca	41	species	10260756	370	207	0.0
Archangium	47	genus	0	1	0	0.0
Archangium gephyra	48	species	12489432	476	293	0.0
Chondromyces crocatus	52	species	11388132	310	210	0.0
Sorangium cellulosum	56	species	13907952	720	516	0.0
Lysobacter	68	genus	0	4	0	0.0
Caulobacter	75	genus	0	5	0	0.0
Hyphomicrobium	81	genus	0	2	0	0.0
Hyphomonas	85	genus	0	4	0	0.0
Leptothrix	88	genus	0	1	0	0.0
Cyclobacterium marinum	104	species	6221273	330	260	0.0
Runella slithyformis	106	species	6919729	407	351	0.0
Rubinisphaera brasiliensis	119	species	6006602	163	122	0.0
Planctopirus limnophila	120	species	5460085	128	104	0.0
Pirellula staleyi	125	species	6196199	105	69	0.0
Planctomycetaceae	126	family	0	1	0	0.0
Isosphaera	127	genus	0	1	0	0.0
Isosphaera pallida	128	species	5529304	94	68	0.0
Borreliella burgdorferi	139	species	1329613	69	28	0.0
Borrelia hermsii	140	species	1156143	81	46	0.0
Borrelia parkeri	141	species	1030684	54	25	0.0
Borrelia turicatae	142	species	917330	48	9	0.0
Spirochaeta thermophila	154	species	2516433	179	136	0.0
Treponema denticola	158	species	2843201	245	162	0.0
Brachyspira hyodysenteriae	159	species	3055339	397	278	0.0
Treponema pallidum	160	species	1138607	45	4	0.0
Treponema succinifaciens	167	species	2897425	2784	695	0.000287433
Leptospira biflexa	172	species	3953768	135	114	0.0
Leptospira interrogans	173	species	5395453	261	224	0.0
Leptospira borgpetersenii	174	species	3948532	163	119	0.0
Leptospirillum ferrooxidans	180	species	2559538	87	67	0.0
Azospirillum	191	genus	0	6	0	0.0
Azospirillum brasilense	192	species	13978806	674	401	0.0
Azospirillum lipoferum	193	species	7223069	791	422	0.0
Campylobacter coli	195	species	5104439	1480	732	4.51734e-05
Campylobacter fetus	196	species	1876301	185	138	0.0
Campylobacter jejuni	197	species	6156435	1113	336	1.13416e-05
Campylobacter hyointestinalis	198	species	1753331	130	93	0.0
Campylobacter concisus	199	species	1969727	180	134	0.0
Campylobacter curvus	200	species	1971270	88	56	0.0
Campylobacter lari	201	species	1576113	303	160	0.0
Helicobacter pylori	210	species	2044699	536	440	0.0
Helicobacter acinonychis	212	species	1557588	54	21	0.0
Helicobacter cinaedi	213	species	2170766	75	51	0.0
Helicobacter felis	214	species	1672681	38	30	0.0
Helicobacter mustelae	217	species	1578097	68	49	1.56834e-75
Achromobacter	222	genus	0	36	0	0.0
Alteromonas	226	genus	0	2	0	0.0
Pseudoalteromonas haloplanktis	228	species	3850272	114	32	0.0
Brucella	234	genus	0	6	0	0.0
Brucella abortus	235	species	5108028	199	3	0.0
Brucella ovis	236	species	3275590	193	5	0.0
Francisella tularensis	263	species	2777166	415	289	0.0
Paracoccus	265	genus	0	4	0	0.0
Paracoccus denitrificans	266	species	5236194	297	188	0.0
Thermus	270	genus	0	1	0	0.0
Thermus aquaticus	271	species	2338641	90	32	0.0
Thermus thermophilus	274	species	2214494	158	75	0.0
Meiothermus ruber	277	species	3097457	167	103	0.0
Xanthobacter	279	genus	0	2	0	0.0
Xanthobacter autotrophicus	280	species	5625098	307	165	0.0
Comamonas	283	genus	0	26	0	0.0
Comamonas testosteroni	285	species	5695231	875	431	1.36814e-06
Pseudomonas	286	genus	0	192	0	0.0
Pseudomonas aeruginosa	287	species	22457305	2214	690	0
Pseudoalteromonas atlantica	288	species	5187005	127	105	0.0
Burkholderia cepacia	292	species	13365495	1253	323	0.0
Pseudomonas fluorescens	294	species	14826544	2078	909	0.0
Pseudomonas fragi	296	species	5101809	133	37	0.0
Pseudomonas mendocina	300	species	5293211	548	254	0.0
