Superkingdom,Phylum,Class,Order,Family,Genus,Species,Name,ti,Healthy_stool_10_1,Healthy_stool_10_10,Healthy_stool_10_100,Healthy_stool_10_50,Healthy_stool_100_1,Healthy_stool_100_10,Healthy_stool_100_100,Healthy_stool_100_50
NA,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus soli (ex Cha et al. 2016),'Deinococcus soli' Cha et al. 2014,1,53,54,33,61,25,12,31,23
NA,Bacillota,Bacilli,Bacillales,Bacillaceae,Salisediminibacterium,Salisediminibacterium selenitireducens,[Bacillus] selenitireducens,2,43,45,37,45,53,55,38,45
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Brevibacterium flavum,[Brevibacterium] flavum,3,80,48,31,62,67,24,14,32
NA,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminiclostridium,Ruminiclostridium cellulolyticum,[Clostridium] cellulolyticum,4,69,93,103,97,77,140,103,134
NA,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,f_Oscillospiraceae,Clostridium cellulosi,[Clostridium] cellulosi,5,234,351,323,428,149,178,82,178
NA,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Acetivibrio,Acetivibrio clariflavus,[Clostridium] clariflavum,6,71,87,68,83,88,110,100,99
NA,Bacillota,Clostridia,Lachnospirales,Anaerotignaceae,Anaerotignum,Anaerotignum propionicum,[Clostridium] propionicum,7,84,130,137,207,85,155,138,153
NA,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora saccharolytica,[Clostridium] saccharolyticum,8,151,177,127,210,553,1317,895,887
NA,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Thermoclostridium,Thermoclostridium stercorarium,[Clostridium] stercorarium,9,37,62,48,80,31,81,64,81
NA,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella aerogenes,[Enterobacter] aerogenes,10,51,50,44,73,61,108,226,144
NA,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospira,Lachnospira eligens,[Eubacterium] eligens,11,451,681,562,736,7092,18064,10314,11427
NA,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,Agathobacter rectalis,[Eubacterium] rectale,12,51897,77982,102670,49329,25447,28177,14638,40886
NA,Bacillota,Clostridia,Peptostreptococcales,Anaerovoracaceae,f_Anaerovoracaceae,Eubacterium sulci,[Eubacterium] sulci,13,43,34,45,60,62,89,73,65
NA,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus ducreyi,[Haemophilus] ducreyi,14,14,10,13,20,23,8,16,14
NA,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Glaesserella,Glaesserella parasuis,[Haemophilus] parasuis,15,34,18,19,41,45,46,28,35
NA,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Basfia,Mannheimia succiniciproducens,[Mannheimia] succiniciproducens,16,16,9,17,18,4,21,20,14
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Caldimonas,Caldimonas brevitalea,[Polyangium] brachysporum,17,32,38,35,34,27,17,24,37
NA,Uroviricota,Caudoviricetes,c_Caudoviricetes,c_Caudoviricetes,c_Caudoviricetes,Abalone shriveling syndrome-associated virus,Abalone shriveling syndrome-associated virus,18,NA,NA,NA,NA,NA,NA,4,NA
NA,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Mimivirus,Mimivirus bradfordmassiliense,Acanthamoeba polyphaga mimivirus,19,NA,NA,NA,NA,2,3,4,2
NA,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Moumouvirus,Moumouvirus moumou,Acanthamoeba polyphaga moumouvirus,20,4,4,4,9,5,5,4,4
NA,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Chlorovirus,Chlorovirus heliozoae,Acanthocystis turfacea Chlorella virus 1,21,NA,2,NA,NA,NA,NA,NA,NA
NA,Cyanobacteriota,Cyanophyceae,Acaryochloridales,Acaryochloridaceae,Acaryochloris,g_Acaryochloris,Acaryochloris,22,NA,NA,NA,NA,NA,NA,NA,1
NA,Cyanobacteriota,Cyanophyceae,Acaryochloridales,Acaryochloridaceae,Acaryochloris,Acaryochloris marina,Acaryochloris marina,23,21,19,16,19,20,22,17,10
NA,Bacillota,Clostridia,Peptostreptococcales,Filifactoraceae,Acetoanaerobium,Acetoanaerobium sticklandii,Acetoanaerobium sticklandii,24,16,11,15,19,27,66,86,52
NA,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter pasteurianus,Acetobacter pasteurianus,25,95,63,49,63,90,42,30,49
NA,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter senegalensis,Acetobacter senegalensis,26,28,34,26,26,35,19,11,25
NA,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter oryzifermentans,Acetobacter sp. SLV-7,27,20,25,12,27,18,12,10,11
