"qseqid","sseqid","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","staxid","MetaScope_Taxid","MetaScope_Genome","genus","species"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662010.1","gi|2299397878|gb|CP102277.1|",100,150,0,0,1,150,953951,953802,1.93e-70,278,470146,NA,"unknown genome; accession ID isNZ_GG662010.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662010.1","gi|1988055318|gb|CP070062.1|",100,150,0,0,1,150,3036649,3036500,1.93e-70,278,410072,NA,"unknown genome; accession ID isNZ_GG662010.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662010.1","gi|2299397878|gb|CP102277.1|",100,150,0,0,1,150,808691,808542,1.93e-70,278,470146,NA,"unknown genome; accession ID isNZ_GG662010.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662010.1","gi|1988055318|gb|CP070062.1|",100,150,0,0,1,150,2891389,2891240,1.93e-70,278,410072,NA,"unknown genome; accession ID isNZ_GG662010.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662010.1","gi|2299490668|gb|CP102292.1|",94,150,9,0,1,150,2055736,2055885,1.97e-55,228,471875,NA,"unknown genome; accession ID isNZ_GG662010.1","Mediterraneibacter","[Ruminococcus] lactaris"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662010.1","gi|2299428463|gb|CP102279.1|",92.667,150,11,0,1,150,2266610,2266759,4.27e-52,217,39486,NA,"unknown genome; accession ID isNZ_GG662010.1","Dorea","formicigenerans"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662010.1","gi|291548560|emb|FP929055.1|",92,150,12,0,1,150,1061927,1062076,1.98e-50,211,657313,NA,"unknown genome; accession ID isNZ_GG662010.1","Mediterraneibacter","[Ruminococcus] torques"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662010.1","gi|2299433792|gb|CP102280.1|",91.333,150,13,0,1,150,730487,730338,9.23e-49,206,88431,NA,"unknown genome; accession ID isNZ_GG662010.1","Dorea","longicatena"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662010.1","gi|2264320898|gb|CP100126.1|",91.333,150,13,0,1,150,2131028,2131177,9.23e-49,206,88431,NA,"unknown genome; accession ID isNZ_GG662010.1","Dorea","longicatena"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662010.1","gi|2223917668|gb|CP094679.1|",91.333,150,13,0,1,150,1109924,1110073,9.23e-49,206,88431,NA,"unknown genome; accession ID isNZ_GG662010.1","Dorea","longicatena"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662010.1","gi|2223927176|gb|CP094681.1|",91.096,146,13,0,3,148,1716113,1715968,1.55e-46,198,1653434,NA,"unknown genome; accession ID isNZ_GG662010.1","Sellimonas","intestinalis"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662010.1","gi|2030188580|gb|CP073340.1|",89.333,150,16,0,1,150,2052499,2052648,9.3e-44,189,712982,NA,"unknown genome; accession ID isNZ_GG662010.1",NA,"Lachnospiraceae bacterium oral taxon 096"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662010.1","gi|2299397878|gb|CP102277.1|",100,150,0,0,1,150,898658,898509,1.93e-70,278,470146,NA,"unknown genome; accession ID isNZ_GG662010.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662010.1","gi|1988055318|gb|CP070062.1|",100,150,0,0,1,150,2981356,2981207,1.93e-70,278,410072,NA,"unknown genome; accession ID isNZ_GG662010.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662010.1","gi|2299397878|gb|CP102277.1|",100,150,0,0,1,150,962631,962482,1.93e-70,278,470146,NA,"unknown genome; accession ID isNZ_GG662010.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662010.1","gi|1988055318|gb|CP070062.1|",100,150,0,0,1,150,3045329,3045180,1.93e-70,278,410072,NA,"unknown genome; accession ID isNZ_GG662010.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662010.1","gi|2299397878|gb|CP102277.1|",100,150,0,0,1,150,905214,905065,1.93e-70,278,470146,NA,"unknown genome; accession ID isNZ_GG662010.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662010.1","gi|1988055318|gb|CP070062.1|",100,150,0,0,1,150,2987912,2987763,1.93e-70,278,410072,NA,"unknown genome; accession ID isNZ_GG662010.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662010.1","gi|2299397878|gb|CP102277.1|",100,150,0,0,1,150,819745,819596,1.93e-70,278,470146,NA,"unknown genome; accession ID isNZ_GG662010.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662010.1","gi|1988055318|gb|CP070062.1|",100,150,0,0,1,150,2902443,2902294,1.93e-70,278,410072,NA,"unknown genome; accession ID isNZ_GG662010.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662010.1","gi|2299397878|gb|CP102277.1|",100,150,0,0,1,150,848524,848375,1.93e-70,278,470146,NA,"unknown genome; accession ID isNZ_GG662010.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662010.1","gi|2299397878|gb|CP102277.1|",100,67,0,0,84,150,44228,44162,2.66e-24,124,470146,NA,"unknown genome; accession ID isNZ_GG662010.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662010.1","gi|2299397878|gb|CP102277.1|",98.507,67,1,0,84,150,858172,858106,1.24e-22,119,470146,NA,"unknown genome; accession ID isNZ_GG662010.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662010.1","gi|2299397878|gb|CP102277.1|",98.507,67,1,0,84,150,1117636,1117570,1.24e-22,119,470146,NA,"unknown genome; accession ID isNZ_GG662010.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662010.1","gi|2299397878|gb|CP102277.1|",97.015,67,2,0,84,150,2281941,2282007,5.76e-21,113,470146,NA,"unknown genome; accession ID isNZ_GG662010.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662010.1","gi|2299397878|gb|CP102277.1|",97.015,67,2,0,84,150,2556300,2556366,5.76e-21,113,470146,NA,"unknown genome; accession ID isNZ_GG662010.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662010.1","gi|2299397878|gb|CP102277.1|",100,44,0,0,107,150,864765,864722,1.62e-11,82.4,470146,NA,"unknown genome; accession ID isNZ_GG662010.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662010.1","gi|1988055318|gb|CP070062.1|",100,150,0,0,1,150,2931222,2931073,1.93e-70,278,410072,NA,"unknown genome; accession ID isNZ_GG662010.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662010.1","gi|1988055318|gb|CP070062.1|",100,67,0,0,84,150,2126926,2126860,2.66e-24,124,410072,NA,"unknown genome; accession ID isNZ_GG662010.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662010.1","gi|1988055318|gb|CP070062.1|",98.507,67,1,0,84,150,2940870,2940804,1.24e-22,119,410072,NA,"unknown genome; accession ID isNZ_GG662010.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662010.1","gi|1988055318|gb|CP070062.1|",98.507,67,1,0,84,150,3200334,3200268,1.24e-22,119,410072,NA,"unknown genome; accession ID isNZ_GG662010.1","Coprococcus","comes"
