"qseqid","sseqid","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","staxid","MetaScope_Taxid","MetaScope_Genome","genus","species"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662008.1","gi|2299397878|gb|CP102277.1|",100,150,0,0,1,150,3324484,3324633,1.93e-70,278,470146,NA,"unknown genome; accession ID isNZ_GG662008.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662008.1","gi|1988055318|gb|CP070062.1|",100,150,0,0,1,150,2034116,2034265,1.93e-70,278,410072,NA,"unknown genome; accession ID isNZ_GG662008.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662008.1","gi|2299397878|gb|CP102277.1|",100,150,0,0,1,150,3269840,3269989,1.93e-70,278,470146,NA,"unknown genome; accession ID isNZ_GG662008.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662008.1","gi|1988055318|gb|CP070062.1|",100,150,0,0,1,150,1979472,1979621,1.93e-70,278,410072,NA,"unknown genome; accession ID isNZ_GG662008.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662008.1","gi|2206258461|gb|CP092473.1|",89.474,114,12,0,37,150,303024,302911,2.04e-30,145,2763062,NA,"unknown genome; accession ID isNZ_GG662008.1","Roseburia","rectibacter"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662008.1","gi|1777211310|gb|CP045695.1|",85.039,127,19,0,24,150,3708293,3708419,5.72e-26,130,29347,NA,"unknown genome; accession ID isNZ_GG662008.1","Lachnoclostridium","[Clostridium] scindens"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662008.1","gi|1580073725|gb|CP036170.1|",85.039,127,19,0,24,150,979057,979183,5.72e-26,130,411468,NA,"unknown genome; accession ID isNZ_GG662008.1","Lachnoclostridium","[Clostridium] scindens"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662008.1","gi|2188827955|dbj|AP025570.1|",85.039,127,19,0,24,150,3466862,3466988,5.72e-26,130,29347,NA,"unknown genome; accession ID isNZ_GG662008.1","Lachnoclostridium","[Clostridium] scindens"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662008.1","gi|2188823277|dbj|AP025569.1|",85.039,127,19,0,24,150,3466860,3466986,5.72e-26,130,29347,NA,"unknown genome; accession ID isNZ_GG662008.1","Lachnoclostridium","[Clostridium] scindens"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662008.1","gi|2128325262|dbj|AP024846.1|",85.039,127,19,0,24,150,3240680,3240806,5.72e-26,130,29347,NA,"unknown genome; accession ID isNZ_GG662008.1","Lachnoclostridium","[Clostridium] scindens"
