"qseqid","sseqid","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","staxid","MetaScope_Taxid","MetaScope_Genome","genus","species"
"ti|246787|org|Bacteroides_cellulosilyticus|accession|NZ_CP012801.1","gi|939199104|gb|CP012801.1|",100,150,0,0,1,150,2239211,2239360,1.93e-70,278,246787,246787,"Bacteroides cellulosilyticus","Bacteroides","cellulosilyticus"
"ti|246787|org|Bacteroides_cellulosilyticus|accession|NZ_CP012801.1","gi|2290544248|gb|CP103102.1|",100,150,0,0,1,150,440433,440582,1.93e-70,278,246787,246787,"Bacteroides cellulosilyticus","Bacteroides","cellulosilyticus"
"ti|246787|org|Bacteroides_cellulosilyticus|accession|NZ_CP012801.1","gi|2032964906|gb|CP072251.1|",100,150,0,0,1,150,2513908,2513759,1.93e-70,278,246787,246787,"Bacteroides cellulosilyticus","Bacteroides","cellulosilyticus"
"ti|246787|org|Bacteroides_cellulosilyticus|accession|NZ_CP012801.1","gi|2290470373|gb|CP103068.1|",99.333,150,1,0,1,150,441593,441742,8.98e-69,272,2972761,246787,"Bacteroides cellulosilyticus","Bacteroides","sp. BFG-257"
"ti|246787|org|Bacteroides_cellulosilyticus|accession|NZ_CP012801.1","gi|2098143287|gb|CP081903.1|",99.333,150,1,0,1,150,441579,441728,8.98e-69,272,246787,246787,"Bacteroides cellulosilyticus","Bacteroides","cellulosilyticus"
"ti|246787|org|Bacteroides_cellulosilyticus|accession|NZ_CP012801.1","gi|1782150439|gb|CP046457.1|",93.182,44,3,0,6,49,2287226,2287183,1.64e-06,65.8,2293317,246787,"Bacteroides cellulosilyticus","Candidatus Syntrophocurvum","alkaliphilum"
"ti|246787|org|Bacteroides_cellulosilyticus|accession|NZ_CP012801.1","gi|2218480947|ref|XM_047514742.1|",100,28,0,0,22,49,2620,2593,0.013,52.8,202808,246787,"Bacteroides cellulosilyticus","Vespa","velutina"
"ti|246787|org|Bacteroides_cellulosilyticus|accession|NZ_CP012801.1","gi|2201573280|ref|XM_046967931.1|",100,28,0,0,22,49,2489,2462,0.013,52.8,7445,246787,"Bacteroides cellulosilyticus","Vespa","crabro"
"ti|246787|org|Bacteroides_cellulosilyticus|accession|NZ_CP012801.1","gi|2201573275|ref|XM_046967922.1|",100,28,0,0,22,49,2503,2476,0.013,52.8,7445,246787,"Bacteroides cellulosilyticus","Vespa","crabro"
"ti|246787|org|Bacteroides_cellulosilyticus|accession|NZ_CP012801.1","gi|2134250633|emb|OU964964.1|",100,28,0,0,22,49,4704463,4704436,0.013,52.8,85444,246787,"Bacteroides cellulosilyticus","Dolichovespula","sylvestris"
"ti|246787|org|Bacteroides_cellulosilyticus|accession|NZ_CP012801.1","gi|2032964906|gb|CP072251.1|",100,150,0,0,1,150,1645920,1645771,1.93e-70,278,246787,246787,"Bacteroides cellulosilyticus","Bacteroides","cellulosilyticus"
"ti|246787|org|Bacteroides_cellulosilyticus|accession|NZ_CP012801.1","gi|939199104|gb|CP012801.1|",98.667,150,2,0,1,150,3144441,3144590,4.18e-67,267,246787,246787,"Bacteroides cellulosilyticus","Bacteroides","cellulosilyticus"
"ti|246787|org|Bacteroides_cellulosilyticus|accession|NZ_CP012801.1","gi|2290544248|gb|CP103102.1|",98.667,150,2,0,1,150,1351726,1351875,4.18e-67,267,246787,246787,"Bacteroides cellulosilyticus","Bacteroides","cellulosilyticus"
"ti|246787|org|Bacteroides_cellulosilyticus|accession|NZ_CP012801.1","gi|939199104|gb|CP012801.1|",100,150,0,0,1,150,5157318,5157467,1.93e-70,278,246787,246787,"Bacteroides cellulosilyticus","Bacteroides","cellulosilyticus"
"ti|246787|org|Bacteroides_cellulosilyticus|accession|NZ_CP012801.1","gi|2290544248|gb|CP103102.1|",100,150,0,0,1,150,3312029,3312178,1.93e-70,278,246787,246787,"Bacteroides cellulosilyticus","Bacteroides","cellulosilyticus"
"ti|246787|org|Bacteroides_cellulosilyticus|accession|NZ_CP012801.1","gi|2032964906|gb|CP072251.1|",100,150,0,0,1,150,6923871,6923722,1.93e-70,278,246787,246787,"Bacteroides cellulosilyticus","Bacteroides","cellulosilyticus"
"ti|246787|org|Bacteroides_cellulosilyticus|accession|NZ_CP012801.1","gi|939199104|gb|CP012801.1|",100,150,0,0,1,150,6611071,6611220,1.93e-70,278,246787,246787,"Bacteroides cellulosilyticus","Bacteroides","cellulosilyticus"
