"qseqid","sseqid","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","staxid","MetaScope_Taxid","MetaScope_Genome","genus","species"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692761.1","gi|1583827992|emb|LR027880.1|",100,150,0,0,1,150,3038059,3038208,1.93e-70,278,536231,536231,"Roseburia intestinalis","Roseburia","intestinalis"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692761.1","gi|2299479188|gb|CP102289.1|",100,150,0,0,1,150,3029034,3029183,1.93e-70,278,166486,536231,"Roseburia intestinalis","Roseburia","intestinalis"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692761.1","gi|291537741|emb|FP929050.1|",100,150,0,0,1,150,600064,599915,1.93e-70,278,718255,536231,"Roseburia intestinalis","Roseburia","intestinalis"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692761.1","gi|291534262|emb|FP929049.1|",98.667,150,2,0,1,150,1764776,1764627,4.18e-67,267,657315,536231,"Roseburia intestinalis","Roseburia","intestinalis"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692761.1","gi|2240210568|gb|CP097279.1|",93.919,148,9,0,3,150,2562465,2562612,2.55e-54,224,166486,536231,"Roseburia intestinalis","Roseburia","intestinalis"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692761.1","gi|2206258461|gb|CP092473.1|",89.583,144,15,0,3,146,2661759,2661902,4.33e-42,183,2763062,536231,"Roseburia intestinalis","Roseburia","rectibacter"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692713.1","gi|1583827992|emb|LR027880.1|",100,150,0,0,1,150,327135,326986,1.93e-70,278,536231,536231,"Roseburia intestinalis","Roseburia","intestinalis"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692713.1","gi|1583827992|emb|LR027880.1|",100,150,0,0,1,150,330044,329895,1.93e-70,278,536231,536231,"Roseburia intestinalis","Roseburia","intestinalis"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692713.1","gi|1583827992|emb|LR027880.1|",100,150,0,0,1,150,861668,861817,1.93e-70,278,536231,536231,"Roseburia intestinalis","Roseburia","intestinalis"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692713.1","gi|1583827992|emb|LR027880.1|",100,150,0,0,1,150,864372,864521,1.93e-70,278,536231,536231,"Roseburia intestinalis","Roseburia","intestinalis"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692713.1","gi|1583827992|emb|LR027880.1|",100,150,0,0,1,150,2929374,2929225,1.93e-70,278,536231,536231,"Roseburia intestinalis","Roseburia","intestinalis"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692713.1","gi|1583827992|emb|LR027880.1|",99.333,150,1,0,1,150,682908,683057,8.98e-69,272,536231,536231,"Roseburia intestinalis","Roseburia","intestinalis"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692713.1","gi|1583827992|emb|LR027880.1|",99.333,150,1,0,1,150,2165237,2165386,8.98e-69,272,536231,536231,"Roseburia intestinalis","Roseburia","intestinalis"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692713.1","gi|2299479188|gb|CP102289.1|",100,150,0,0,1,150,322599,322450,1.93e-70,278,166486,536231,"Roseburia intestinalis","Roseburia","intestinalis"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692713.1","gi|2299479188|gb|CP102289.1|",100,150,0,0,1,150,854224,854373,1.93e-70,278,166486,536231,"Roseburia intestinalis","Roseburia","intestinalis"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692713.1","gi|2299479188|gb|CP102289.1|",100,150,0,0,1,150,856928,857077,1.93e-70,278,166486,536231,"Roseburia intestinalis","Roseburia","intestinalis"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692713.1","gi|2299479188|gb|CP102289.1|",100,150,0,0,1,150,2920349,2920200,1.93e-70,278,166486,536231,"Roseburia intestinalis","Roseburia","intestinalis"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692713.1","gi|2299479188|gb|CP102289.1|",99.333,150,1,0,1,150,675464,675613,8.98e-69,272,166486,536231,"Roseburia intestinalis","Roseburia","intestinalis"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692713.1","gi|2299479188|gb|CP102289.1|",99.333,150,1,0,1,150,2156326,2156475,8.98e-69,272,166486,536231,"Roseburia intestinalis","Roseburia","intestinalis"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692713.1","gi|2299479188|gb|CP102289.1|",98,150,3,0,1,150,319687,319538,1.94e-65,261,166486,536231,"Roseburia intestinalis","Roseburia","intestinalis"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692713.1","gi|2240210568|gb|CP097279.1|",100,150,0,0,1,150,797333,797184,1.93e-70,278,166486,536231,"Roseburia intestinalis","Roseburia","intestinalis"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692713.1","gi|2206258461|gb|CP092473.1|",100,150,0,0,1,150,1113360,1113211,1.93e-70,278,2763062,536231,"Roseburia intestinalis","Roseburia","rectibacter"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692713.1","gi|2206258461|gb|CP092473.1|",100,150,0,0,1,150,2335648,2335797,1.93e-70,278,2763062,536231,"Roseburia intestinalis","Roseburia","rectibacter"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692713.1","gi|2206258461|gb|CP092473.1|",100,150,0,0,1,150,3354805,3354954,1.93e-70,278,2763062,536231,"Roseburia intestinalis","Roseburia","rectibacter"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692713.1","gi|2052922576|tpg|BK018056.1|",99.333,150,1,0,1,150,10163,10312,8.98e-69,272,2170413,536231,"Roseburia intestinalis",NA,NA
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692713.1","gi|291534262|emb|FP929049.1|",99.333,150,1,0,1,150,528735,528586,8.98e-69,272,657315,536231,"Roseburia intestinalis","Roseburia","intestinalis"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692713.1","gi|291537741|emb|FP929050.1|",94,150,9,0,1,150,2798655,2798506,1.97e-55,228,718255,536231,"Roseburia intestinalis","Roseburia","intestinalis"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692723.1","gi|1569728502|gb|MK232828.1|",98,150,3,0,1,150,2931,2782,1.94e-65,261,239364,536231,"Roseburia intestinalis",NA,"uncultured human fecal virus"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692723.1","gi|1583827992|emb|LR027880.1|",98,150,3,0,1,150,442070,442219,1.94e-65,261,536231,536231,"Roseburia intestinalis","Roseburia","intestinalis"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692723.1","gi|2299479188|gb|CP102289.1|",98,150,3,0,1,150,434625,434774,1.94e-65,261,166486,536231,"Roseburia intestinalis","Roseburia","intestinalis"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692723.1","gi|2299320247|gb|CP102267.1|",98,150,3,0,1,150,2509157,2509008,1.94e-65,261,1121115,536231,"Roseburia intestinalis","Blautia","wexlerae"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692723.1","gi|672937829|gb|KF704242.1|",98,150,3,0,1,150,10038,10187,1.94e-65,261,1311,536231,"Roseburia intestinalis","Streptococcus","agalactiae"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692723.1","gi|2223917668|gb|CP094679.1|",98,150,3,0,1,150,1076848,1076699,1.94e-65,261,88431,536231,"Roseburia intestinalis","Dorea","longicatena"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692723.1","gi|674109292|gb|CP007571.1|",98,150,3,0,1,150,650710,650859,1.94e-65,261,1311,536231,"Roseburia intestinalis","Streptococcus","agalactiae"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692723.1","gi|2154003691|gb|CP076620.1|",98,150,3,0,1,150,2292491,2292342,1.94e-65,261,1529,536231,"Roseburia intestinalis","Clostridium","cadaveris"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692723.1","gi|571257415|emb|HF545616.1|",98,150,3,0,1,150,1426998,1427147,1.94e-65,261,1160721,536231,"Roseburia intestinalis","Ruminococcus","bicirculans (ex Wegman et al. 2014)"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692723.1","gi|291534262|emb|FP929049.1|",97.333,150,4,0,1,150,1458909,1459058,9.04e-64,255,657315,536231,"Roseburia intestinalis","Roseburia","intestinalis"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692718.1","gi|1583827992|emb|LR027880.1|",100,150,0,0,1,150,978350,978201,1.93e-70,278,536231,536231,"Roseburia intestinalis","Roseburia","intestinalis"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692718.1","gi|2299479188|gb|CP102289.1|",100,150,0,0,1,150,970906,970757,1.93e-70,278,166486,536231,"Roseburia intestinalis","Roseburia","intestinalis"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692718.1","gi|2240210568|gb|CP097279.1|",97.386,153,1,1,1,150,911622,911470,2.51e-64,257,166486,536231,"Roseburia intestinalis","Roseburia","intestinalis"
"ti|536231|org|Roseburia_intestinalis_L1-82|accession|NZ_GG692718.1","gi|291537741|emb|FP929050.1|",89.333,150,1,1,1,150,391987,391853,2.6e-39,174,718255,536231,"Roseburia intestinalis","Roseburia","intestinalis"
