"qseqid","sseqid","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","staxid","MetaScope_Taxid","MetaScope_Genome","genus","species"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000059.1","gi|2299336055|gb|CP102271.1|",100,150,0,0,1,150,1007792,1007941,1.93e-70,278,100886,NA,"unknown genome; accession ID isNZ_ACCK01000059.1","Catenibacterium","mitsuokai"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000059.1","gi|1997760561|emb|LR994472.1|",92,150,12,0,1,150,975408,975557,1.98e-50,211,2478954,NA,"unknown genome; accession ID isNZ_ACCK01000059.1","Catenibacterium","sp. co_0103"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000059.1","gi|2299336055|gb|CP102271.1|",100,150,0,0,1,150,1013595,1013744,1.93e-70,278,100886,NA,"unknown genome; accession ID isNZ_ACCK01000059.1","Catenibacterium","mitsuokai"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000059.1","gi|1997760561|emb|LR994472.1|",98.013,151,2,1,1,150,981194,981344,1.94e-65,261,2478954,NA,"unknown genome; accession ID isNZ_ACCK01000059.1","Catenibacterium","sp. co_0103"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000059.1","gi|2299336055|gb|CP102271.1|",100,150,0,0,1,150,976514,976663,1.93e-70,278,100886,NA,"unknown genome; accession ID isNZ_ACCK01000059.1","Catenibacterium","mitsuokai"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000059.1","gi|1997760561|emb|LR994472.1|",92.81,153,8,2,1,150,946829,946981,1.19e-52,219,2478954,NA,"unknown genome; accession ID isNZ_ACCK01000059.1","Catenibacterium","sp. co_0103"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000059.1","gi|2299336055|gb|CP102271.1|",100,150,0,0,1,150,965911,966060,1.93e-70,278,100886,NA,"unknown genome; accession ID isNZ_ACCK01000059.1","Catenibacterium","mitsuokai"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000059.1","gi|1997760561|emb|LR994472.1|",95.946,148,6,0,1,148,936171,936318,2.53e-59,241,2478954,NA,"unknown genome; accession ID isNZ_ACCK01000059.1","Catenibacterium","sp. co_0103"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000059.1","gi|2299336055|gb|CP102271.1|",100,150,0,0,1,150,995136,995285,1.93e-70,278,100886,NA,"unknown genome; accession ID isNZ_ACCK01000059.1","Catenibacterium","mitsuokai"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000059.1","gi|2299336055|gb|CP102271.1|",100,150,0,0,1,150,1010654,1010803,1.93e-70,278,100886,NA,"unknown genome; accession ID isNZ_ACCK01000059.1","Catenibacterium","mitsuokai"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000059.1","gi|1997760561|emb|LR994472.1|",92.568,148,11,0,1,148,978268,978415,5.52e-51,213,2478954,NA,"unknown genome; accession ID isNZ_ACCK01000059.1","Catenibacterium","sp. co_0103"
