"qseqid","sseqid","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","staxid","MetaScope_Taxid","MetaScope_Genome","genus","species"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000438.1","gi|2299336055|gb|CP102271.1|",100,150,0,0,1,150,2295833,2295982,1.93e-70,278,100886,NA,"unknown genome; accession ID isNZ_ACCK01000438.1","Catenibacterium","mitsuokai"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000438.1","gi|1997760561|emb|LR994472.1|",90.728,151,12,2,1,150,2214682,2214831,4.3e-47,200,2478954,NA,"unknown genome; accession ID isNZ_ACCK01000438.1","Catenibacterium","sp. co_0103"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000438.1","gi|1210272640|dbj|AP018335.1|",100,30,0,0,47,76,1378271,1378242,0.001,56.5,51173,NA,"unknown genome; accession ID isNZ_ACCK01000438.1","Ureibacillus","thermosphaericus"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000438.1","gi|326539903|gb|CP002582.1|",90.476,42,4,0,31,72,484982,485023,0.001,56.5,642492,NA,"unknown genome; accession ID isNZ_ACCK01000438.1","Cellulosilyticum","lentocellum"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000438.1","gi|2299336055|gb|CP102271.1|",100,150,0,0,1,150,2245939,2246088,1.93e-70,278,100886,NA,"unknown genome; accession ID isNZ_ACCK01000438.1","Catenibacterium","mitsuokai"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000438.1","gi|2299336055|gb|CP102271.1|",100,150,0,0,1,150,2235177,2235326,1.93e-70,278,100886,NA,"unknown genome; accession ID isNZ_ACCK01000438.1","Catenibacterium","mitsuokai"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000438.1","gi|1997760561|emb|LR994472.1|",91.333,150,13,0,1,150,2178360,2178509,9.23e-49,206,2478954,NA,"unknown genome; accession ID isNZ_ACCK01000438.1","Catenibacterium","sp. co_0103"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000438.1","gi|2299336055|gb|CP102271.1|",100,150,0,0,1,150,2249333,2249482,1.93e-70,278,100886,NA,"unknown genome; accession ID isNZ_ACCK01000438.1","Catenibacterium","mitsuokai"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000438.1","gi|2299336055|gb|CP102271.1|",92.958,142,10,0,1,142,2253052,2253193,2.57e-49,207,100886,NA,"unknown genome; accession ID isNZ_ACCK01000438.1","Catenibacterium","mitsuokai"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000438.1","gi|2299336055|gb|CP102271.1|",100,150,0,0,1,150,2237884,2238033,1.93e-70,278,100886,NA,"unknown genome; accession ID isNZ_ACCK01000438.1","Catenibacterium","mitsuokai"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000438.1","gi|2299336055|gb|CP102271.1|",91.892,111,9,0,1,111,2374841,2374951,9.43e-34,156,100886,NA,"unknown genome; accession ID isNZ_ACCK01000438.1","Catenibacterium","mitsuokai"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000438.1","gi|2299336055|gb|CP102271.1|",87.313,134,17,0,1,134,2239738,2239871,3.39e-33,154,100886,NA,"unknown genome; accession ID isNZ_ACCK01000438.1","Catenibacterium","mitsuokai"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000438.1","gi|1997760561|emb|LR994472.1|",97.987,149,3,0,1,149,2181075,2181223,6.99e-65,259,2478954,NA,"unknown genome; accession ID isNZ_ACCK01000438.1","Catenibacterium","sp. co_0103"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000438.1","gi|1997760561|emb|LR994472.1|",91.892,111,9,0,1,111,2259308,2259418,9.43e-34,156,2478954,NA,"unknown genome; accession ID isNZ_ACCK01000438.1","Catenibacterium","sp. co_0103"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000438.1","gi|1997760561|emb|LR994472.1|",86.014,143,20,0,1,143,2182927,2183069,3.39e-33,154,2478954,NA,"unknown genome; accession ID isNZ_ACCK01000438.1","Catenibacterium","sp. co_0103"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000438.1","gi|2299336055|gb|CP102271.1|",100,150,0,0,1,150,2249546,2249695,1.93e-70,278,100886,NA,"unknown genome; accession ID isNZ_ACCK01000438.1","Catenibacterium","mitsuokai"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000438.1","gi|2299336055|gb|CP102271.1|",90.728,151,12,2,1,150,2253265,2253414,4.3e-47,200,100886,NA,"unknown genome; accession ID isNZ_ACCK01000438.1","Catenibacterium","mitsuokai"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000438.1","gi|2299336055|gb|CP102271.1|",100,150,0,0,1,150,2295007,2295156,1.93e-70,278,100886,NA,"unknown genome; accession ID isNZ_ACCK01000438.1","Catenibacterium","mitsuokai"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000438.1","gi|1997760561|emb|LR994472.1|",95.683,139,3,2,1,136,2213847,2213985,3.3e-53,220,2478954,NA,"unknown genome; accession ID isNZ_ACCK01000438.1","Catenibacterium","sp. co_0103"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000438.1","gi|2299336055|gb|CP102271.1|",100,150,0,0,1,150,2254410,2254559,1.93e-70,278,100886,NA,"unknown genome; accession ID isNZ_ACCK01000438.1","Catenibacterium","mitsuokai"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000438.1","gi|2299336055|gb|CP102271.1|",100,150,0,0,1,150,2276168,2276317,1.93e-70,278,100886,NA,"unknown genome; accession ID isNZ_ACCK01000438.1","Catenibacterium","mitsuokai"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000438.1","gi|2299336055|gb|CP102271.1|",98.02,101,1,1,34,133,2265977,2266077,2.6e-39,174,100886,NA,"unknown genome; accession ID isNZ_ACCK01000438.1","Catenibacterium","mitsuokai"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000438.1","gi|2299336055|gb|CP102271.1|",100,38,0,0,33,70,2276121,2276158,3.51e-08,71.3,100886,NA,"unknown genome; accession ID isNZ_ACCK01000438.1","Catenibacterium","mitsuokai"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000438.1","gi|2299336055|gb|CP102271.1|",97.5,40,1,0,31,70,2265825,2265864,1.26e-07,69.4,100886,NA,"unknown genome; accession ID isNZ_ACCK01000438.1","Catenibacterium","mitsuokai"
"ti|451640|org|Catenibacterium_mitsuokai_DSM_15897|accession|NZ_ACCK01000438.1","gi|2299336055|gb|CP102271.1|",97.368,38,1,0,33,70,2265905,2265942,1.64e-06,65.8,100886,NA,"unknown genome; accession ID isNZ_ACCK01000438.1","Catenibacterium","mitsuokai"
