"qseqid","sseqid","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","staxid","MetaScope_Taxid","MetaScope_Genome","genus","species"
"ti|300267|org|Shigella_dysenteriae_Sd197|accession|NC_007606.1","gi|1854594516|gb|CP039837.1|",100,150,0,0,1,150,4058733,4058882,1.93e-70,278,244320,300267,"Shigella dysenteriae","Escherichia","coli"
"ti|300267|org|Shigella_dysenteriae_Sd197|accession|NC_007606.1","gi|1854586504|gb|CP040107.1|",100,150,0,0,1,150,4135803,4135952,1.93e-70,278,83334,300267,"Shigella dysenteriae","Escherichia","coli"
"ti|300267|org|Shigella_dysenteriae_Sd197|accession|NC_007606.1","gi|1854578792|gb|CP039834.1|",100,150,0,0,1,150,4148392,4148541,1.93e-70,278,83334,300267,"Shigella dysenteriae","Escherichia","coli"
"ti|300267|org|Shigella_dysenteriae_Sd197|accession|NC_007606.1","gi|1845652096|gb|CP038428.1|",100,150,0,0,1,150,301881,301732,1.93e-70,278,83334,300267,"Shigella dysenteriae","Escherichia","coli"
"ti|300267|org|Shigella_dysenteriae_Sd197|accession|NC_007606.1","gi|1845645926|gb|CP038425.1|",100,150,0,0,1,150,4231506,4231655,1.93e-70,278,83334,300267,"Shigella dysenteriae","Escherichia","coli"
"ti|300267|org|Shigella_dysenteriae_Sd197|accession|NC_007606.1","gi|1845639437|gb|CP038423.1|",100,150,0,0,1,150,4113825,4113974,1.93e-70,278,83334,300267,"Shigella dysenteriae","Escherichia","coli"
"ti|300267|org|Shigella_dysenteriae_Sd197|accession|NC_007606.1","gi|1845633309|gb|CP038421.1|",100,150,0,0,1,150,4103223,4103372,1.93e-70,278,83334,300267,"Shigella dysenteriae","Escherichia","coli"
"ti|300267|org|Shigella_dysenteriae_Sd197|accession|NC_007606.1","gi|1845627265|gb|CP038419.1|",100,150,0,0,1,150,4173757,4173906,1.93e-70,278,83334,300267,"Shigella dysenteriae","Escherichia","coli"
"ti|300267|org|Shigella_dysenteriae_Sd197|accession|NC_007606.1","gi|1845621487|gb|CP038416.1|",100,150,0,0,1,150,4115948,4116097,1.93e-70,278,83334,300267,"Shigella dysenteriae","Escherichia","coli"
"ti|300267|org|Shigella_dysenteriae_Sd197|accession|NC_007606.1","gi|1845614780|gb|CP038414.1|",100,150,0,0,1,150,4155098,4155247,1.93e-70,278,83334,300267,"Shigella dysenteriae","Escherichia","coli"
"ti|300267|org|Shigella_dysenteriae_Sd197|accession|NC_007606.1","gi|1854586504|gb|CP040107.1|",100,150,0,0,1,150,3951787,3951638,1.93e-70,278,83334,300267,"Shigella dysenteriae","Escherichia","coli"
"ti|300267|org|Shigella_dysenteriae_Sd197|accession|NC_007606.1","gi|1854578792|gb|CP039834.1|",100,150,0,0,1,150,3964376,3964227,1.93e-70,278,83334,300267,"Shigella dysenteriae","Escherichia","coli"
"ti|300267|org|Shigella_dysenteriae_Sd197|accession|NC_007606.1","gi|1845652096|gb|CP038428.1|",100,150,0,0,1,150,485888,486037,1.93e-70,278,83334,300267,"Shigella dysenteriae","Escherichia","coli"
"ti|300267|org|Shigella_dysenteriae_Sd197|accession|NC_007606.1","gi|1845645926|gb|CP038425.1|",100,150,0,0,1,150,4047461,4047312,1.93e-70,278,83334,300267,"Shigella dysenteriae","Escherichia","coli"
"ti|300267|org|Shigella_dysenteriae_Sd197|accession|NC_007606.1","gi|1845639437|gb|CP038423.1|",100,150,0,0,1,150,3929809,3929660,1.93e-70,278,83334,300267,"Shigella dysenteriae","Escherichia","coli"
