#Classification	Sample #1	Sample #2	Sample #3	Sample #4	Sample #5	Sample #6	Sample #7	Sample #8
d__Bacteria	658002	632577	436000	664231	788320	692697	511169	704112
d__Bacteria|s__Candidatus Dependentiae bacterium (ex Spumella elongata CCAP 955/1)	0	0	0	1	0	0	0	0
d__Bacteria|c__Candidatus Babeliae	0	0	1	1	0	0	0	0
d__Bacteria|c__Candidatus Babeliae|o__Candidatus Babeliales	0	0	1	1	0	0	0	0
d__Bacteria|c__Candidatus Babeliae|o__Candidatus Babeliales|f__Candidatus Babeliaceae	0	0	1	1	0	0	0	0
d__Bacteria|c__Candidatus Babeliae|o__Candidatus Babeliales|f__Candidatus Babeliaceae|g__Candidatus Babela	0	0	1	1	0	0	0	0
d__Bacteria|c__Candidatus Babeliae|o__Candidatus Babeliales|f__Candidatus Babeliaceae|g__Candidatus Babela|s__Candidatus Babela massiliensis	0	0	1	1	0	0	0	0
d__Bacteria|p__Caldiserica	0	1	1	2	0	0	0	0
d__Bacteria|p__Caldiserica|c__Caldisericia	0	1	1	2	0	0	0	0
d__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales	0	1	1	2	0	0	0	0
d__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae	0	1	1	2	0	0	0	0
d__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae|g__Caldisericum	0	1	1	2	0	0	0	0
d__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae|g__Caldisericum|s__Caldisericum exile	0	1	1	2	0	0	0	0
d__Bacteria|p__Candidatus Bipolaricaulota	0	1	0	0	0	0	0	0
d__Bacteria|p__Candidatus Bipolaricaulota|g__Candidatus Bipolaricaulis	0	1	0	0	0	0	0	0
d__Bacteria|p__Candidatus Bipolaricaulota|g__Candidatus Bipolaricaulis|s__Candidatus Bipolaricaulis anaerobius	0	1	0	0	0	0	0	0
d__Bacteria|p__Lentisphaerae	0	14	9	12	17	11	18	15
