name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium	6	genus	0	1	0	0.0
Azorhizobium caulinodans	7	species	5369772	383	208	0.0
Buchnera aphidicola	9	species	619958	369	267	0.0
Cellulomonas gilvus	11	species	3526441	188	96	0.0
Dictyoglomus thermophilum	14	species	1959987	210	158	0.0
Pelobacter	18	genus	0	3	0	0.0
Pelobacter carbinolicus	19	species	3665893	315	218	0.0
Shewanella	22	genus	0	6	0	0.0
Shewanella putrefaciens	24	species	4749735	143	45	0.0
Myxococcales	29	order	0	7	0	0.0
Myxococcaceae	31	family	0	8	0	0.0
Myxococcus	32	genus	0	3	0	0.0
Myxococcus fulvus	33	species	10026214	914	407	0.0
Myxococcus xanthus	34	species	9139763	441	154	0.0
Cystobacteraceae	39	family	0	2	0	0.0
Stigmatella	40	genus	0	1	0	0.0
Stigmatella aurantiaca	41	species	10260756	418	216	0.0
Archangium gephyra	48	species	12489432	569	337	0.0
Polyangiaceae	49	family	0	2	0	0.0
Chondromyces crocatus	52	species	11388132	329	207	0.0
Sorangium cellulosum	56	species	13907952	767	532	0.0
Lysobacter	68	genus	0	2	0	0.0
Caulobacter	75	genus	0	8	0	0.0
Hyphomicrobium	81	genus	0	1	0	0.0
Hyphomonas	85	genus	0	4	0	0.0
Leptothrix	88	genus	0	1	0	0.0
Gallionella	96	genus	0	1	0	0.0
Cyclobacterium marinum	104	species	6221273	371	278	0.0
Runella slithyformis	106	species	6919729	435	371	0.0
Planctomyces	118	genus	0	1	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	174	130	0.0
Planctopirus limnophila	120	species	5460085	162	125	0.0
Pirellula staleyi	125	species	6196199	118	72	0.0
Planctomycetaceae	126	family	0	1	0	0.0
Isosphaera	127	genus	0	1	0	0.0
Isosphaera pallida	128	species	5529304	125	80	0.0
Methylocystis	133	genus	0	1	0	0.0
Borreliella burgdorferi	139	species	1329613	78	26	0.0
Borrelia hermsii	140	species	1156143	86	46	0.0
Borrelia parkeri	141	species	1030684	60	25	0.0
Borrelia turicatae	142	species	917330	59	10	0.0
Spirochaeta thermophila	154	species	2516433	215	159	0.0
Treponema	157	genus	0	2	0	0.0
Treponema denticola	158	species	2843201	271	171	0.0
Brachyspira hyodysenteriae	159	species	3055339	407	263	0.0
