"old_name","current_name"
"Acidovorax avenae","Paracidovorax avenae"
"Acidovorax citrulli","Paracidovorax citrulli"
"Acidovorax ebreus","[Acidovorax] ebreus"
"Agrobacterium sp. H13-3","Agrobacterium tumefaciens"
"Alcanivorax dieselolei","Alloalcanivorax dieselolei"
"Alcanivorax pacificus","Isoalcanivorax pacificus"
"Alteromonas addita","Alteromonas stellipolaris"
"Anaerobaculum","Acetomicrobium"
"Anaerobaculum mobile","Acetomicrobium mobile"
"Arcobacter butzleri","Aliarcobacter butzleri"
"Atopobium parvulum","Lancefieldella parvula"
"Bacillus cellulosilyticus","Evansella cellulosilytica"
"Bacillus clausii","Shouchella clausii"
"Bacillus coagulans","Heyndrickxia coagulans"
"Bacillus endophyticus","Priestia endophytica"
"Bacillus halodurans","Halalkalibacterium halodurans"
"Bacillus lehensis","Shouchella lehensis"
"Bacillus megaterium","Priestia megaterium"
"Bacillus oceanisediminis","Cytobacillus oceanisediminis"
"Bacillus pseudofirmus","Alkalihalophilus pseudofirmus"
"Bacillus simplex","Peribacillus simplex"
"Bacillus sp. IHB B 7164","Priestia megaterium"
"Bacillus weihenstephanensis","Bacillus mycoides"
"Bacteroides dorei","Phocaeicola dorei"
"Bacteroides salanitronis","Phocaeicola salanitronis"
"Bacteroides sp. I48","Bacteroides caecimuris"
"Bacteroides vulgatus","Phocaeicola vulgatus"
"Bdellovibrio exovorus","Pseudobdellovibrio exovorus"
"Bifidobacterium kashiwanohense","Bifidobacterium catenulatum subsp. kashiwanohense"
"Blattabacterium sp. (Panesthia angustipennis spadica)","Blattabacterium cuenoti"
"Bosea","Bosea <a-proteobacteria>"
"Bradyrhizobiaceae","Nitrobacteraceae"
"Burkholderia sp. Bp5365","Burkholderia humptydooensis"
"Caldicellulosiruptor kristjanssonii","Caldicellulosiruptor acetigenus"
"Caldicellulosiruptor lactoaceticus","Caldicellulosiruptor acetigenus"
"Candidatus Atelocyanobacterium thalassa","Candidatus Atelocyanobacterium thalassae"
"Candidatus Baumannia cicadellinicola","Candidatus Palibaumannia cicadellinicola"
"Candidatus Blochmannia chromaiodes","Candidatus Blochmanniella chromaiodes"
"Candidatus Blochmannia pennsylvanicus","Candidatus Blochmanniella pennsylvanica"
"Candidatus Blochmannia vafer","Candidatus Blochmanniella vafra"
"Candidatus Ishikawaella capsulata","Candidatus Ishikawella capsulata"
"Candidatus Kinetoplastibacterium crithidii","Candidatus Kinetoplastidibacterium crithidiae"
"Candidatus Kinetoplastibacterium desouzaii","Candidatus Kinetoplastidibacterium desouzai"
"Candidatus Kinetoplastibacterium galatii","Candidatus Kinetoplastidibacterium galati"
"Candidatus Kinetoplastibacterium oncopeltii","Candidatus Kinetoplastidibacterium stringomonadis"
"Candidatus Koribacter versatilis","Candidatus Korobacter versatilis"
"Candidatus Liberibacter","Liberibacter"
"Candidatus Pelagibacter ubique","Candidatus Pelagibacter communis"
"Candidatus Ruthia magnifica","Candidatus Ruthturnera calyptogenae"
"Candidatus Sodalis pierantonius","Candidatus Sodalis pierantonii"
"Candidatus Thioglobus singularis","Candidatus Pseudothioglobus singularis"
"Chromohalobacter salexigens","Chromohalobacter israelensis"
"Clostridiales","Eubacteriales"
"Dechloromonas aromatica","Dechloromonas aromatica (nom. nud.)"
"Deinococcus swuensis","Deinococcus radiopugnans"
"Desulfobacterium autotrophicum","Desulforapulum autotrophicum"
"Desulfococcus oleovorans","Desulfosudis oleivorans"
"Desulfotomaculum acetoxidans","Desulfofarcimen acetoxidans"
"Desulfotomaculum gibsoniae","Desulfoscipio gibsoniae"
"Desulfotomaculum kuznetsovii","Desulfofundulus kuznetsovii"
"Desulfotomaculum reducens","Desulforamulus reducens"
"Desulfotomaculum ruminis","Desulforamulus ruminis"
"Desulfovibrio aespoeensis","Pseudodesulfovibrio aespoeensis"
"Desulfovibrio africanus","Desulfocurvibacter africanus"
"Desulfovibrio alaskensis","Oleidesulfovibrio alaskensis"
"Desulfovibrio magneticus","Solidesulfovibrio magneticus"
"Desulfovibrio salexigens","Maridesulfovibrio salexigens"
"Desulfovibrio vulgaris","Nitratidesulfovibrio vulgaris"
"Edwardsiella","Edwardsiella <enterobacteria>"
"Enterobacter cloacae complex 'Hoffmann cluster III'","Enterobacter hormaechei subsp. hoffmannii"
"Enterobacter cloacae complex 'Hoffmann cluster IV'","Enterobacter roggenkampii"
"Enterobacter cloacae complex sp. 35734","Enterobacter roggenkampii"
"Enterobacter lignolyticus","[Enterobacter] lignolyticus"
"Enterobacteria phage phiX174 sensu lato","Escherichia phage phiX174"
"Escherichia virus Lambda","Lambdavirus lambda"
"Exiguobacterium sibiricum","Exiguobacterium artemiae"
"Flexibacter litoralis","Bernardetia litoralis"
"Geobacter bemidjiensis","Citrifermentans bemidjiense"
"Geobacter daltonii","Geotalea daltonii"
"Geobacter lovleyi","Trichlorobacter lovleyi"
"Geobacter uraniireducens","Geotalea uraniireducens"
"Glaciecola nitratireducens","Brumicola nitratireducens"
"Gramella forsetii","Christiangramia forsetii"
"Heliobacterium modesticaldum","Heliomicrobium modesticaldum"
"Kinetoplastibacterium","Candidatus Kinetoplastidibacterium"
"Kinetoplastibacterium blastocrithidii","Candidatus Kinetoplastidibacterium blastocrithidiae"
